XYZ (105953 points)
126.510 23.604 6663.729
126.380 23.387 6005.063
126.244 23.166 5583.331
126.081 22.941 5674.383
125.940 22.696 5788.596
125.793 22.476 5618.520
125.648 22.257 5410.270
125.484 22.081 5154.254
125.376 21.868 5405.606
125.217 21.651 5422.350
125.049 21.433 5540.348
124.883 21.213 5610.473
124.711 20.989 5830.981
124.534 20.768 5801.066
124.348 20.553 5499.016
124.153 20.332 5626.294
123.959 20.112 5532.103
123.750 19.898 5364.109
123.532 19.687 5128.862
123.301 19.481 4915.821
123.052 19.299 4620.132
122.753 19.270 4291.991
122.449 19.137 2186.782
122.199 18.924 1493.612
121.876 19.042 63.163
121.602 18.776 650.612
121.291 18.489 40.107
121.752 30.831 5.888
121.768 30.807 7.000
121.785 30.782 7.767
121.797 30.758 8.000
121.805 30.733 8.000
121.831 30.733 8.000
121.857 30.740 8.000
121.885 30.745 8.000
121.914 30.751 8.000
121.943 30.758 8.000
121.737 30.856 2.212
121.972 30.766 7.000
122.002 30.774 7.000
122.031 30.782 7.000
122.062 30.790 7.000
122.092 30.797 6.667
122.124 30.804 7.000
122.155 30.812 6.946
122.188 30.819 8.057
122.221 30.826 8.328
122.254 30.832 8.184
122.288 30.839 9.331
122.323 30.845 10.000
122.359 30.851 10.000
122.395 30.857 11.683
122.433 30.862 12.000
122.470 30.868 14.000
122.509 30.873 16.597
122.549 30.878 19.086
122.589 30.882 19.556
122.630 30.886 21.777
122.672 30.890 21.043
122.716 30.894 21.811
122.760 30.898 20.701
122.804 30.901 21.678
122.850 30.904 25.467
122.897 30.907 31.890
122.946 30.910 38.652
123.000 30.909 44.000
123.054 30.915 45.201
123.106 30.916 48.000
123.159 30.918 53.782
123.213 30.919 59.937
123.268 30.920 53.575
123.324 30.921 51.082
123.381 30.922 53.411
123.439 30.922 50.243
123.499 30.923 52.661
123.560 30.924 52.071
123.622 30.924 43.879
123.686 30.926 57.625
123.751 30.927 52.711
123.818 30.927 47.366
123.885 30.927 47.722
123.955 30.928 42.706
124.026 30.928 46.135
124.099 30.927 44.000
124.173 30.925 45.096
124.249 30.922 43.509
124.326 30.919 52.140
124.405 30.914 53.099
124.486 30.908 50.000
124.568 30.901 45.444
124.653 30.893 49.174
124.738 30.883 52.938
124.826 30.872 55.880
124.915 30.860 60.046
125.007 30.846 62.399
125.100 30.830 59.983
